param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2161,,,,,,,3.859,0.,3.859,0.08592,0.00028,0.01302,0.00214,0.101,0.,0.018,0.08344,0.00032,0.01341,0.00234,0.099,0.003,0.015,,,,,,
2197,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,0.,0.095
2236,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.,0.102
2274,,,,,,,,,,0.08776,0.00026,0.03459,0.00233,0.125,0.003,0.036,0.09109,0.00031,0.01542,0.00230,0.109,0.,0.02,,,,,,
2275,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,0.,0.104
2278,,,,1.501,0.003,1.497,,,,,,,,,,,,,,,,,,,,,,,
2282,,,,1.574,0.,1.573,,,,,,,,,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103,0.003,0.1
2353,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.,0.11
2388,,,,,,,,,,0.08293,0.00028,0.01537,0.00219,0.1,0.008,0.012,0.08778,0.00027,0.02013,0.00246,0.11,0.003,0.022,,,,,,
2392,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,0.,0.114
2420,,,,1.727,0.003,1.723,,,,,,,,,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,0.,0.114
2471,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,0.,0.127
2502,,,,,,,,,,0.08814,0.00027,0.01679,0.00254,0.107,0.,0.022,0.08533,0.00030,0.04843,0.00259,0.136,0.008,0.046,,,,,,
2510,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,0.003,0.128
2521,,,,,,,4.889,0.,4.889,,,,,,,,,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.,0.13
2562,,,,2.027,0.003,2.023,,,,,,,,,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,0.,0.141
2615,,,,,,,,,,0.09050,0.00031,0.01982,0.00318,0.113,0.003,0.023,0.08892,0.00032,0.14035,0.00267,0.232,0.012,0.133,,,,,,
2628,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,0.,0.147
2667,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,0.,0.149
2705,,,,2.109,0.003,2.105,,,,,,,,,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,0.003,0.152
2729,,,,,,,,,,0.08779,0.00025,0.01908,0.00272,0.11,0.004,0.02,0.08676,0.00035,0.02284,0.00322,0.113,0.004,0.025,,,,,,
2745,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,0.,0.149
2784,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154,0.,0.154
2824,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,0.,0.156
2842,,,,,,,,,,0.09386,0.00029,0.02269,0.00288,0.119,0.,0.028,0.09007,0.00035,0.05030,0.00346,0.144,0.,0.057,,,,,,
2847,,,,2.385,0.008,2.377,,,,,,,,,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.,0.163
2881,,,,,,,6.595,0.063,6.53,,,,,,,,,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,0.,0.166
2941,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,0.,0.169
2956,,,,,,,,,,0.08924,0.00033,0.02333,0.00320,0.116,0.003,0.026,0.08846,0.00029,0.02890,0.00300,0.12,0.007,0.027,,,,,,
2980,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,0.,0.177
3019,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,0.,0.183
3059,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,0.,0.183
3070,,,,,,,,,,0.08343,0.00029,0.02637,0.00337,0.113,0.,0.032,0.09085,0.00033,0.02390,0.00296,0.118,0.003,0.026,,,,,,
3098,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,0.,0.186
3137,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189,0.,0.189
3183,,,,,,,,,,0.08352,0.00025,0.02809,0.00319,0.115,0.003,0.03,0.08580,0.00033,0.02667,0.00365,0.116,0.,0.033,,,,,,
3241,,,,,,,8.428,0.043,8.383,,,,,,,,,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,0.,0.207
3297,,,,,,,,,,0.08943,0.00030,0.04602,0.00360,0.139,0.007,0.045,0.08579,0.00032,0.03147,0.00358,0.121,0.007,0.03,,,,,,
3398,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.003,0.216
3410,,,,,,,,,,0.08391,0.00028,0.05637,0.00321,0.143,0.007,0.054,0.08375,0.00031,0.02942,0.00380,0.117,0.,0.036,,,,,,
3416,,,,3.38,0.003,3.375,,,,,,,,,,,,,,,,,,,,,,,
3524,,,,,,,,,,0.08531,0.00028,0.09554,0.00350,0.184,0.007,0.094,0.08650,0.00029,0.03633,0.00364,0.126,0.007,0.035,,,,,,
3529,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.,0.24
3601,,,,,,,9.825,0.047,9.777,,,,,,,,,,,,,,,,,,,,
3638,,,,,,,,,,0.08853,0.00031,0.04063,0.00376,0.133,0.003,0.044,0.09017,0.00028,0.03766,0.00408,0.132,0.004,0.041,,,,,,
3660,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,0.,0.261
3674,,,,,,,,,,0.10157,0.00032,0.07239,0.00420,0.178,0.007,0.072,0.09364,0.00031,0.03655,0.00452,0.135,0.,0.043,,,,,,
3751,,,,,,,,,,0.08986,0.00027,0.03762,0.00961,0.137,0.003,0.046,0.09809,0.00034,0.03781,0.00403,0.14,0.,0.045,,,,,,
3790,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276,0.,0.276
3865,,,,,,,,,,0.08852,0.00024,0.03912,0.00388,0.131,0.006,0.04,0.08679,0.00026,0.04210,0.00394,0.133,0.004,0.045,,,,,,
3921,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285,0.,0.285
