param-n,abstract+autorewrite-regression-quadratic-real,abstract+autorewrite-regression-quadratic-sys,abstract+autorewrite-regression-quadratic-user,abstract+rewrite!-regression-quadratic-real,abstract+rewrite!-regression-quadratic-sys,abstract+rewrite!-regression-quadratic-user,autorewrite-noop-regression-linear-real,autorewrite-noop-regression-linear-sys,autorewrite-noop-regression-linear-user,autorewrite-regression-quadratic-real,autorewrite-regression-quadratic-sys,autorewrite-regression-quadratic-user,close-abstract+autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-sys,close-abstract+autorewrite-regression-quadratic-user,close-abstract+rewrite!-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-sys,close-abstract+rewrite!-regression-quadratic-user,rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-sys,rewrite!-regression-quadratic-user,rewrite?-noop-regression-linear-real,rewrite?-noop-regression-linear-sys,rewrite?-noop-regression-linear-user
160,0.423,0.,0.423,0.414,0.,0.414,0.001,0.,0.001,0.304,0.,0.304,0.116,0.,0.116,0.108,0.,0.108,0.299,0.,0.299,0.001,0.,0.001
170,0.452,0.,0.452,0.462,0.003,0.458,0.001,0.,0.001,0.325,0.,0.325,0.123,0.,0.123,0.122,0.003,0.118,0.337,0.,0.337,0.001,0.,0.001
180,0.504,0.,0.504,0.515,0.,0.515,0.001,0.,0.001,0.358,0.,0.358,0.142,0.,0.142,0.142,0.,0.142,0.37,0.,0.37,0.001,0.,0.001
190,0.58,0.019,0.56,0.576,0.003,0.571,0.001,0.,0.001,0.406,0.015,0.39,0.17,0.004,0.166,0.155,0.,0.154,0.417,0.003,0.413,0.001,0.,0.001
200,0.682,0.012,0.67,0.697,0.003,0.692,0.002,0.,0.002,0.494,0.011,0.482,0.185,0.,0.185,0.186,0.,0.186,0.506,0.003,0.503,0.002,0.,0.002
210,0.682,0.,0.682,0.686,0.,0.686,0.002,0.,0.002,0.487,0.,0.487,0.191,0.,0.191,0.188,0.,0.188,0.493,0.,0.493,0.002,0.,0.002
220,0.761,0.,0.761,0.739,0.,0.739,0.002,0.,0.002,0.537,0.,0.537,0.22,0.,0.22,0.207,0.,0.207,0.528,0.,0.528,0.002,0.,0.002
230,0.835,0.008,0.827,0.867,0.003,0.863,0.002,0.,0.002,0.598,0.004,0.594,0.234,0.003,0.23,0.243,0.003,0.239,0.62,0.,0.62,0.002,0.,0.002
240,0.894,0.011,0.882,0.914,0.012,0.902,0.002,0.,0.002,0.631,0.008,0.623,0.258,0.003,0.254,0.253,0.,0.253,0.657,0.011,0.645,0.002,0.,0.002
250,0.991,0.005,0.985,0.994,0.,0.993,0.003,0.,0.003,0.706,0.001,0.705,0.28,0.004,0.276,0.274,0.,0.274,0.715,0.,0.715,0.002,0.,0.002
260,1.034,0.007,1.026,1.062,0.003,1.058,0.002,0.,0.002,0.739,0.003,0.735,0.289,0.003,0.285,0.293,0.,0.293,0.764,0.003,0.76,0.002,0.,0.002
270,1.106,0.003,1.102,1.134,0.007,1.126,0.002,0.,0.002,0.767,0.,0.767,0.334,0.003,0.33,0.335,0.,0.335,0.795,0.007,0.787,0.002,0.,0.002
280,1.195,0.,1.195,1.205,0.,1.205,0.002,0.,0.002,0.856,0.,0.856,0.333,0.,0.333,0.336,0.,0.336,0.864,0.,0.864,0.002,0.,0.002
290,1.265,0.,1.265,1.474,0.,1.471,0.002,0.,0.002,0.891,0.,0.891,0.369,0.,0.369,0.384,0.,0.384,1.085,0.,1.082,0.002,0.,0.002
300,1.421,0.012,1.409,1.413,0.003,1.409,0.002,0.,0.002,1.008,0.007,1.,0.409,0.004,0.405,0.399,0.,0.399,1.009,0.003,1.005,0.002,0.,0.002
310,1.453,0.,1.453,1.48,0.,1.48,0.002,0.,0.002,1.034,0.,1.034,0.413,0.,0.413,0.412,0.,0.412,1.06,0.,1.059,0.003,0.,0.003
320,1.543,0.,1.542,1.503,0.,1.503,0.005,0.,0.005,1.098,0.,1.098,0.437,0.,0.437,0.425,0.,0.425,1.072,0.,1.072,0.003,0.,0.003
330,1.591,0.,1.59,1.631,0.,1.63,0.003,0.,0.003,1.124,0.,1.124,0.461,0.,0.461,0.463,0.,0.463,1.162,0.,1.162,0.003,0.,0.003
340,1.755,0.,1.754,1.793,0.,1.793,0.003,0.,0.003,1.244,0.,1.244,0.505,0.,0.505,0.514,0.,0.514,1.273,0.,1.273,0.003,0.,0.003
350,1.908,0.019,1.888,1.93,0.003,1.926,0.004,0.,0.004,1.373,0.008,1.365,0.529,0.011,0.517,0.547,0.,0.546,1.378,0.003,1.374,0.003,0.,0.003
360,1.979,0.007,1.971,1.934,0.003,1.93,0.003,0.,0.003,1.393,0.003,1.389,0.581,0.004,0.577,0.525,0.003,0.521,1.404,0.,1.404,0.003,0.,0.003
370,1.993,0.,1.992,2.073,0.,2.073,0.003,0.,0.003,1.424,0.,1.424,0.563,0.,0.563,0.576,0.,0.576,1.491,0.,1.491,0.003,0.,0.003
380,2.167,0.,2.167,2.195,0.003,2.19,0.003,0.,0.003,1.543,0.,1.543,0.617,0.,0.617,0.615,0.,0.615,1.57,0.003,1.566,0.007,0.,0.007
390,2.274,0.015,2.257,2.295,0.,2.295,0.004,0.,0.004,1.606,0.015,1.589,0.662,0.,0.662,0.645,0.,0.645,1.644,0.,1.643,0.003,0.,0.003
400,2.422,0.008,2.414,2.468,0.012,2.456,0.003,0.,0.003,1.732,0.007,1.724,0.687,0.,0.687,0.675,0.003,0.671,1.788,0.008,1.779,0.003,0.,0.003
